Data below is obtained from FASTA file:  "/Users/Mana/Dropbox/ResCons/Demo files/7_Description_ID Extractor/Sequences_demo.fasta"
Total number of sequences present in FASTA file:  677
Number of unique Identifiers present among them:  677

### Following are the unique Identifiers extracted: ###

Identifier, Count
YP_400400|Bacteria|Cyanobacteria|Oscillatoriophycideae|Synechococcus|,1
WP_012114515|Bacteria|Proteobacteria|Alphaproteobacteria|Xanthobacter|,1
WP_012101557|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_012047904|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_012028429|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_012027585|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_012023557|Bacteria|Bacteroidetes|Flavobacteriia|Flavobacterium|,1
WP_012023556|Bacteria|Bacteroidetes|Flavobacteriia|Flavobacterium|,1
WP_012011899|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_012007318|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_012004923|Bacteria|Proteobacteria|Gammaproteobacteria|Serratia|,1
WP_011992054|Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacter|,1
WP_011990461|Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacter|,1
WP_011950166|Bacteria|Proteobacteria|Alphaproteobacteria|Brucella|,1
WP_011945166|Bacteria|Proteobacteria|Alphaproteobacteria|Orientia|,1
WP_011927946|Bacteria|Proteobacteria|Gammaproteobacteria|Dichelobacter|,1
WP_011914701|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_011909154|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacter|,1
WP_011892305|Bacteria|Actinobacteria|Actinobacteridae|Mycobacterium|,1
WP_011890266|Bacteria|Chlorobi|Chlorobia|Chlorobium|,1
WP_011889998|Bacteria|Chlorobi|Chlorobia|Chlorobium|,1
WP_011862531|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011862514|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011840726|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacter|,1
WP_011837329|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_011835728|Bacteria|Firmicutes|Bacilli|Lactococcus|,1
WP_011825412|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011823290|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011819891|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011819874|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011818020|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011818003|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011814791|Bacteria|Proteobacteria|Gammaproteobacteria|Halorhodospira|,1
WP_011798810|Bacteria|Proteobacteria|Betaproteobacteria|Neisseria|,1
WP_011790895|Bacteria|Proteobacteria|Gammaproteobacteria|Shewanella|,1
WP_011749895|Bacteria|Proteobacteria|Alphaproteobacteria|Paracoccus|,1
WP_011745253|Bacteria|Chlorobi|Chlorobia|Chlorobium|,1
WP_011745042|Bacteria|Chlorobi|Chlorobia|Chlorobium|,1
WP_011731048|Bacteria|Actinobacteria|Actinobacteridae|Mycobacterium|,1
WP_011707292|Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonas|,1
WP_011706785|Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonas|,1
WP_011680773|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_011678222|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_011676823|Bacteria|Firmicutes|Bacilli|Lactococcus|,1
WP_011673369|Bacteria|Firmicutes|Bacilli|Pediococcus|,1
WP_011672451|Bacteria|Proteobacteria|Gammaproteobacteria|Buchnera|,1
WP_011671665|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_011670537|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_011667581|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_011664229|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodopseudomonas|,1
WP_011661499|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodopseudomonas|,1
WP_011653868|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
WP_011651312|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
WP_011640478|Bacteria|Firmicutes|Clostridia|Syntrophomonas|,1
WP_011640036|Bacteria|Firmicutes|Clostridia|Syntrophomonas|,1
WP_011633881|Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonas|,1
WP_011624271|Bacteria|Proteobacteria|Gammaproteobacteria|Shewanella|,1
WP_011611179|Bacteria|Cyanobacteria|Oscillatoriophycideae|Trichodesmium|,1
WP_011609664|Bacteria|Proteobacteria|Gammaproteobacteria|Histophilus|,1
WP_011607621|Bacteria|Actinobacteria|Actinobacteridae|Frankia|,1
WP_011607615|Bacteria|Actinobacteria|Actinobacteridae|Frankia|,1
WP_011592877|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_011586457|Bacteria|Bacteroidetes|Cytophagia|Cytophaga|,1
WP_011584630|Bacteria|Bacteroidetes|Cytophagia|Cytophaga|,1
WP_011577733|Bacteria|Proteobacteria|Epsilonproteobacteria|Helicobacter|,1
WP_011562156|Bacteria|Actinobacteria|Actinobacteridae|Mycobacterium|,1
WP_011555531|Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcus|,1
WP_011551782|Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcus|,1
WP_011550983|Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcus|,1
WP_011510652|Bacteria|Proteobacteria|Alphaproteobacteria|Nitrobacter|,1
WP_011509203|Bacteria|Proteobacteria|Alphaproteobacteria|Nitrobacter|,1
WP_011503084|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodopseudomonas|,1
WP_011501121|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodopseudomonas|,1
WP_011480461|Bacteria|Proteobacteria|Betaproteobacteria|Methylobacillus|,1
WP_011475981|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_011473112|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodopseudomonas|,1
WP_011470527|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodopseudomonas|,1
WP_011452116|Bacteria|Proteobacteria|Alphaproteobacteria|Neorickettsia|,1
WP_011451156|Bacteria|Proteobacteria|Alphaproteobacteria|Anaplasma|,1
WP_011441528|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodopseudomonas|,1
WP_011439008|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodopseudomonas|,1
WP_011438658|Bacteria|Actinobacteria|Actinobacteridae|Frankia|,1
WP_011407698|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_011393891|Bacteria|Firmicutes|Clostridia|Moorella|,1
WP_011392862|Bacteria|Firmicutes|Clostridia|Moorella|,1
WP_011391956|Bacteria|Firmicutes|Clostridia|Moorella|,1
WP_011389571|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillum|,1
WP_011387907|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillum|,1
WP_011381397|Bacteria|Proteobacteria|Betaproteobacteria|Nitrosospira|,1
WP_011380096|Bacteria|Proteobacteria|Betaproteobacteria|Nitrosospira|,1
WP_011376071|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011376054|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011374673|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_011358011|Bacteria|Chlorobi|Chlorobia|Pelodictyon|,1
WP_011357936|Bacteria|Chlorobi|Chlorobia|Pelodictyon|,1
WP_011330570|Bacteria|Proteobacteria|Gammaproteobacteria|Nitrosococcus|,1
WP_011327155|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudoalteromonas|,1
WP_011320263|Bacteria|Cyanobacteria|Nostocales|Anabaena|,1
WP_011315004|Bacteria|Proteobacteria|Alphaproteobacteria|Nitrobacter|,1
WP_011313812|Bacteria|Proteobacteria|Alphaproteobacteria|Nitrobacter|,1
WP_011304927|Bacteria|Proteobacteria|Alphaproteobacteria|Ehrlichia|,1
WP_011294476|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011294459|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011275340|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_011263293|Bacteria|Proteobacteria|Gammaproteobacteria|Aliivibrio|,1
WP_011257818|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_011252330|Bacteria|Proteobacteria|Alphaproteobacteria|Gluconobacter|,1
WP_011241279|Bacteria|Proteobacteria|Alphaproteobacteria|Zymomonas|,1
WP_011225519|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_011191024|Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsia|,1
WP_011183641|Bacteria|Actinobacteria|Actinobacteridae|Propionibacterium|,1
WP_011178977|Bacteria|Proteobacteria|Alphaproteobacteria|Bartonella|,1
WP_011173971|Bacteria|Deinococcus-Thermus|Deinococci|Thermus|,1
WP_011164653|Bacteria|Proteobacteria|Deltaproteobacteria|Bdellovibrio|,1
WP_011164186|Bacteria|Proteobacteria|Deltaproteobacteria|Bdellovibrio|,1
WP_011155463|Bacteria|Proteobacteria|Alphaproteobacteria|Ehrlichia|,1
WP_011150045|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrio|,1
WP_011139589|Bacteria|Proteobacteria|Epsilonproteobacteria|Wolinella|,1
WP_011136919|Bacteria|Proteobacteria|Betaproteobacteria|Chromobacterium|,1
WP_011132146|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011132129|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011130626|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_011112471|Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonas|,1
WP_011105929|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrio|,1
WP_011099849|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_011098691|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_011091219|Bacteria|Proteobacteria|Gammaproteobacteria|Buchnera|,1
WP_011080710|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrio|,1
WP_011078784|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrio|,1
WP_011052280|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_011038412|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_011016138|Bacteria|Fusobacteria|Fusobacteriales|Fusobacterium|,1
WP_011015989|Bacteria|Fusobacteria|Fusobacteriales|Fusobacterium|,1
WP_011015853|Bacteria|Fusobacteria|Fusobacteriales|Fusobacterium|,1
WP_011015320|Bacteria|Actinobacteria|Actinobacteridae|Corynebacterium|,1
WP_011002272|Bacteria|Proteobacteria|Betaproteobacteria|Ralstonia|,1
WP_010991946|Bacteria|Bacteroidetes|Bacteroidia|Bacteroides|,1
WP_010991556|Bacteria|Firmicutes|Bacilli|Listeria|,1
WP_010969115|Bacteria|Proteobacteria|Alphaproteobacteria|Sinorhizobium|,1
WP_010965437|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_010960535|Bacteria|Proteobacteria|Gammaproteobacteria|Methylococcus|,1
WP_010960476|Bacteria|Proteobacteria|Gammaproteobacteria|Methylococcus|,1
WP_010959482|Bacteria|Proteobacteria|Gammaproteobacteria|Methylococcus|,1
WP_010948454|Bacteria|Proteobacteria|Gammaproteobacteria|Legionella|,1
WP_010944216|Bacteria|Proteobacteria|Gammaproteobacteria|Haemophilus|,1
WP_010938927|Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrio|,1
WP_010932636|Bacteria|Chlorobi|Chlorobia|Chlorobaculum|,1
WP_010930982|Bacteria|Proteobacteria|Betaproteobacteria|Bordetella|,1
WP_010915603|Bacteria|Proteobacteria|Alphaproteobacteria|Mesorhizobium|,1
WP_010912198|Bacteria|Proteobacteria|Alphaproteobacteria|Mesorhizobium|,1
WP_010907600|Bacteria|Actinobacteria|Actinobacteridae|Mycobacterium|,1
WP_010889201|Bacteria|Deinococcus-Thermus|Deinococci|Deinococcus|,1
WP_010864695|Bacteria|Proteobacteria|Gammaproteobacteria|Plesiomonas|,1
WP_010863389|Bacteria|Proteobacteria|Gammaproteobacteria|Plesiomonas|,1
WP_010845228|Bacteria|Proteobacteria|Gammaproteobacteria|Xenorhabdus|,1
WP_010662040|Bacteria|Bacteroidetes|Bacteroidia|Marinilabilia|,1
WP_010661998|Bacteria|Bacteroidetes|Bacteroidia|Marinilabilia|,1
WP_009698861|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrio|,1
WP_009607054|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_009607051|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_009566885|Bacteria|Proteobacteria|Gammaproteobacteria|Acidithiobacillus|,1
WP_009508394|Bacteria|Proteobacteria|Gammaproteobacteria|Acinetobacter|,1
WP_009493687|Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacter|,1
WP_009397414|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_008379685|Bacteria|Firmicutes|Bacilli|Enterococcus|,1
WP_005917771|Bacteria|Fusobacteria|Fusobacteriales|Fusobacterium|,1
WP_005915892|Bacteria|Fusobacteria|Fusobacteriales|Fusobacterium|,1
WP_005912608|Bacteria|Fusobacteria|Fusobacteriales|Fusobacterium|,1
WP_005766413|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_005766260|Bacteria|Proteobacteria|Alphaproteobacteria|Bartonella|,1
WP_005717569|Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurella|,1
WP_005533700|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrio|,1
WP_005526024|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrio|,1
WP_005500361|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrio|,1
WP_005450712|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrio|,1
WP_005422520|Bacteria|Proteobacteria|Gammaproteobacteria|Aliivibrio|,1
WP_005313216|Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonas|,1
WP_004933594|Bacteria|Proteobacteria|Gammaproteobacteria|Serratia|,1
WP_004755609|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_004475108|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_004420411|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_004398785|Bacteria|Firmicutes|Clostridia|Thermoanaerobacter|,1
WP_004210652|Bacteria|Proteobacteria|Gammaproteobacteria|Klebsiella|,1
WP_004193098|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_004192419|Bacteria|Proteobacteria|Gammaproteobacteria|Klebsiella|,1
WP_004170922|Bacteria|Proteobacteria|Gammaproteobacteria|Erwinia|,1
WP_004162542|Bacteria|Cyanobacteria|Oscillatoriophycideae|Microcystis|,1
WP_004160088|Bacteria|Proteobacteria|Gammaproteobacteria|Erwinia|,1
WP_003897515|Bacteria|Actinobacteria|Actinobacteridae|Mycobacterium|,1
WP_003856061|Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacter|,1
WP_003812734|Bacteria|Proteobacteria|Betaproteobacteria|Bordetella|,1
WP_003767967|Bacteria|Proteobacteria|Betaproteobacteria|Neisseria|,1
WP_003706232|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_003645032|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_003620120|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_003615025|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_003605129|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_003602246|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_003600980|Bacteria|Proteobacteria|Alphaproteobacteria|Methylobacterium|,1
WP_003598036|Bacteria|Proteobacteria|Alphaproteobacteria|Methylobacterium|,1
WP_003594415|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_003579130|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_003570341|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_003531185|Bacteria|Proteobacteria|Alphaproteobacteria|Sinorhizobium|,1
WP_003529294|Bacteria|Proteobacteria|Alphaproteobacteria|Sinorhizobium|,1
WP_003523485|Bacteria|Proteobacteria|Alphaproteobacteria|Agrobacterium|,1
WP_003520807|Bacteria|Proteobacteria|Alphaproteobacteria|Agrobacterium|,1
WP_003516686|Bacteria|Proteobacteria|Alphaproteobacteria|Agrobacterium|,1
WP_003512522|Bacteria|Proteobacteria|Alphaproteobacteria|Agrobacterium|,1
WP_003505020|Bacteria|Proteobacteria|Alphaproteobacteria|Agrobacterium|,1
WP_003502230|Bacteria|Proteobacteria|Alphaproteobacteria|Agrobacterium|,1
WP_003495179|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_003477457|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_003467326|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_003467322|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_003444040|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_003429422|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_003404502|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_003381435|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_003380637|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_003349448|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_003339812|Bacteria|Firmicutes|Bacilli|Brevibacillus|,1
WP_003330165|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_003326092|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_003298522|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_003296352|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_003290517|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_003283075|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_003255365|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_003244067|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_003185828|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_003139748|Bacteria|Firmicutes|Bacilli|Lactococcus|,1
WP_003135114|Bacteria|Firmicutes|Bacilli|Lactococcus|,1
WP_003130319|Bacteria|Firmicutes|Bacilli|Lactococcus|,1
WP_003101574|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_003078406|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_003054157|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_003049793|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_003046847|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_003043618|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_003033936|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002995846|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002990948|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002969403|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002961651|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002949760|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002931339|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002923599|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002920597|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002918504|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002916941|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002914586|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002910049|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002905909|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002905110|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002890025|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002886727|Bacteria|Proteobacteria|Gammaproteobacteria|Klebsiella|,1
WP_002886641|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002878586|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_002833077|Bacteria|Firmicutes|Bacilli|Pediococcus|,1
WP_002831677|Bacteria|Firmicutes|Bacilli|Pediococcus|,1
WP_002804918|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_002770856|Bacteria|Cyanobacteria|Oscillatoriophycideae|Microcystis|,1
WP_002760848|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002734427|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002732961|Bacteria|Cyanobacteria|Oscillatoriophycideae|Microcystis|,1
WP_002732661|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002727965|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002726187|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002550873|Bacteria|Actinobacteria|Actinobacteridae|Propionibacterium|,1
WP_002550013|Bacteria|Actinobacteria|Actinobacteridae|Propionibacterium|,1
WP_002549556|Bacteria|Actinobacteria|Actinobacteridae|Propionibacterium|,1
WP_002495662|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_002494627|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_002494119|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_002489468|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_002485870|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_002474182|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_002468096|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_002466143|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_002458565|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_002301907|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002298983|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002284776|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002283749|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002282868|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002281052|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002275741|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002274790|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002268074|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002264043|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002262586|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_002259208|Bacteria|Proteobacteria|Betaproteobacteria|Neisseria|,1
WP_002248262|Bacteria|Proteobacteria|Betaproteobacteria|Neisseria|,1
WP_002232159|Bacteria|Proteobacteria|Betaproteobacteria|Neisseria|,1
WP_002219633|Bacteria|Proteobacteria|Betaproteobacteria|Neisseria|,1
WP_002217745|Bacteria|Proteobacteria|Betaproteobacteria|Neisseria|,1
WP_002190519|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002189051|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002178697|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002176422|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002142595|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002131590|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002126990|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002123821|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002106471|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002104078|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002092623|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002080314|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002077918|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002070913|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_002068200|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_001968143|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_001939000|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrio|,1
WP_001923206|Bacteria|Proteobacteria|Epsilonproteobacteria|Helicobacter|,1
WP_001922356|Bacteria|Proteobacteria|Epsilonproteobacteria|Helicobacter|,1
WP_001916577|Bacteria|Proteobacteria|Epsilonproteobacteria|Helicobacter|,1
WP_001836818|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_001739810|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001712222|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001691321|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001691111|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001680062|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001638680|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001634937|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001633560|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001622084|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001608315|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001531769|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001500687|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001500009|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001472753|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
WP_001434116|Bacteria|Proteobacteria|Gammaproteobacteria|Escherichia|,1
